09-01-2016 14:46:55,607; [main]; INFO ; com.github.sarxos.webcam.Webcam;  - WebcamDefaultDriver capture driver will be used
09-01-2016 14:46:55,611; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Searching devices
09-01-2016 14:46:56,835; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Found device USB 2.0 Camera 0
09-01-2016 14:46:56,856; [main]; DEBUG; com.github.sarxos.webcam.Webcam;  - Setting new resolution 320x240
09-01-2016 14:46:56,886; [main]; DEBUG; com.github.sarxos.webcam.WebcamPanel;  - Starting panel rendering and trying to open attached webcam
09-01-2016 14:46:56,890; [main]; DEBUG; com.github.sarxos.webcam.WebcamLock;  - Lock Webcam USB 2.0 Camera 0
09-01-2016 14:46:56,900; [atomic-processor-1]; INFO ; com.github.sarxos.webcam.ds.cgt.WebcamOpenTask;  - Opening webcam USB 2.0 Camera 0
09-01-2016 14:46:56,900; [atomic-processor-1]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDevice;  - Opening webcam device USB 2.0 Camera 0
09-01-2016 14:46:56,901; [atomic-processor-1]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDevice;  - Webcam device 0 starting session, size java.awt.Dimension[width=320,height=240]
09-01-2016 14:46:58,461; [atomic-processor-1]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDevice;  - Webcam device session started
09-01-2016 14:46:58,464; [atomic-processor-1]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDevice;  - Initialize buffer
09-01-2016 14:46:59,857; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Searching devices
09-01-2016 14:47:01,537; [atomic-processor-1]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDevice;  - Webcam device com.github.sarxos.webcam.ds.buildin.WebcamDefaultDevice@1313ff7 is now open
09-01-2016 14:47:01,538; [main]; DEBUG; com.github.sarxos.webcam.Webcam;  - Webcam is now open USB 2.0 Camera 0
09-01-2016 14:47:01,557; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Found device USB 2.0 Camera 0
09-01-2016 14:47:04,559; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Searching devices
09-01-2016 14:47:04,713; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Found device USB 2.0 Camera 0
09-01-2016 14:47:07,714; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Searching devices
09-01-2016 14:47:08,009; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Found device USB 2.0 Camera 0
09-01-2016 14:47:11,010; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Searching devices
09-01-2016 14:47:11,193; [webcam-discovery-service]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDriver;  - Found device USB 2.0 Camera 0
09-01-2016 14:47:11,447; [shutdown-hook-1]; INFO ; com.github.sarxos.webcam.WebcamShutdownHook;  - Automatic USB 2.0 Camera 0 deallocation
09-01-2016 14:47:11,447; [shutdown-hook-1]; INFO ; com.github.sarxos.webcam.Webcam;  - Disposing webcam USB 2.0 Camera 0
09-01-2016 14:47:11,494; [atomic-processor-1]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDevice;  - Disposing webcam device USB 2.0 Camera 0
09-01-2016 14:47:11,494; [atomic-processor-1]; DEBUG; com.github.sarxos.webcam.ds.buildin.WebcamDefaultDevice;  - Closing webcam device
09-01-2016 14:47:11,671; [shutdown-hook-1]; DEBUG; com.github.sarxos.webcam.WebcamPanel;  - Stopping panel rendering and closing attached webcam
09-01-2016 14:47:11,673; [shutdown-hook-1]; DEBUG; com.github.sarxos.webcam.Webcam;  - Webcam disposed USB 2.0 Camera 0
